Year,Category,Movie,Winner,Presenter,Date & Venue,Speech,year_standard,category_standard,year_count,link
1941 (14th) Academy Awards,Special Award,Fantasia,"To Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company for their outstanding contribution to the advancement of the use of sound in motion pictures through the production of ""Fantasia."" (accepted by Disney on behalf of all)",Mervyn LeRoy,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","
",1941,Honorary Award,1941.11,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=12&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Irving G. Thalberg Memorial Award,No title.,Walt Disney,David O. Selznick,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","I find myself speechless. I knew that there was something here tonight; this is way beyond my expectation. I've got a lot of thanking to do. First, for the little short subject award which we're very proud of. My musicians for their music Š—– it's going to be hard to get along with them now, I know. ""Fantasia,"" in a way I feel like I should have a medal for bravery or something. We all make our mistakes, I know, but it was an honest mistake. But this, this is too much.",1941,Honorary Award,1941.12,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=13&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Actor,Yankee Doodle Dandy,James Cagney,Gary Cooper,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)","Ladies and gentlemen: Very happy. [Audience yells, ""Louder""]  I said, ladies and gentlemen Š—– I bend into my work here Š—– very happy, very happy.  According to the highly personal quality of our business, I've always had the feeling ever since coming into it, that you can only be as good as the other fellow thinks you are, or, I might add, as bad.  And it seemed that quite a number of people have thought a good job has been done, and that makes me very happy. And just one added thought, I might say it was a pretty good part. Thank you.",1942,Actor in a Leading Role,1942.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=14&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Actor in a Supporting Role,Johnny Eager,Van Heflin,Gary Cooper,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)","Stay here, oh yes, I need you.",1942,Actor in a Supporting Role,1942.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=15&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Actress,Mrs. Miniver,Greer Garson,Joan Fontaine,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)","Ladies and gentlemen, distinguished visitors from the armed forces, Governor Warren, honored guests, Mr. Chairman _ Mr. President Chairman: Thank you. That is really all there is to say; but, as this is after all the opportunity of a lifetime, I hope you won't mind if I try to expand that word just, just a little. This is, this is going to be a great evening to remember. We've had some very exciting messages and some very exciting speeches. It should make us all very proud to belong to this great and fascinating industry. Praise from our government and our armed forces and from abroad from our allies for work we have done should make us determined to carry on. We have somehow brought very wide horizons into this room tonight. Anything that I have to say now, which is practically unprepared... [camera cuts]
As for the nominations, I've always felt that to be nominated simply means that you've had the great good luck to be entrusted with one of the best assignments of the current year, and that's a cause for rejoicing in itself. And there isn't a single good craftsman in this industry who if given such an opportunity can't be counted on to measure up to it. Why do we all long to win the award? It's no question of superiority because we're comparing different excellences and they're varied in their nature and they can't be fairly compared. There's no rivalry in this room tonight. There's no competition. As the Dodo said to Alice in Wonderland: ""Everybody has won and everybody shall have a prize."" The nominations are really the prizes. The award...I, I can hardly believe that it's really for me tonight. It's always seemed to me something very personal, a gesture from the men and women of this industry who choose to show not only recognition of, of work... [camera cuts]
Ladies and gentlemen, I came to this country as a stranger five years ago. I've been very happy and very proud to be a member of this community and of this industry all that time. And from everybody I met or worked with truly I have received such ready kindness that for quite a long while I couldn't believe that it was true, but tonight you have made me feel that you have really set the door of your friendship wide open and that welcome is officially on the mat, and that is why I'm so happy. [camera cuts]
...very humbly, very gratefully I say thank you and I step across your threshold. There... [camera cuts]
...if I may say so, the girl who's always on the sidelines, my quite specially wonderful little mother. And after her, Sidney Franklin the great, the inimitable Willy Wyler... [camera cuts]",1942,Actress in a Leading Role,1942.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=16&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Actress in a Supporting Role,Mrs. Miniver,Teresa Wright,Joan Fontaine,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)",Thank you.  I wish Major Wyler were here tonight so I could thank him first for his splendid direction.  And I'd like to thank Mr. Mayer and Mr. Franklin for giving me the part.  And I'd like to thank the people who gave me this because they're the people I work with and therefore it's doubly thrilling to get it from them.  Thank you.,1942,Actress in a Supporting Role,1942.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=17&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Directing,Mrs. Miniver,"William Wyler (not present; accepted by his wife, Margaret Tallichet Wyler)",Frank Capra,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)","Thanks so much, everybody.  It makes me very happy to accept the award for Willy. I wish he could be here.  He's wanted an Oscar for a long time and I know it would thrill him an awful lot to be here. Probably as much as that fight over [unintelligible] did. Thank you so much.",1942,Directing,1942.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=18&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1942 (15th) Academy Awards,Outstanding Motion Picture,Mrs. Miniver,Metro-Goldwyn-Mayer (accepted by studio head Louis B. Mayer),William Goetz,"March 4, 1943; Ambassador Hotel, Cocoanut Grove (banquet)","Thank you, Bill.  It's a double pleasure and an honor to receive this award at your hands. I wished I had an Oscar to give you, but I can give you my blessings and tell you I'm proud to have you as my son and wish you all the continued happiness and the glories that'll be yours, because I've had mine. This industry's been awfully good to me, and may you follow in my footsteps and be greater than I ever was, which I'm sure you will be.  Thank you. [camera cuts]",1942,Best Picture,1942.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=19&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Actor,The Best Years of Our Lives,Fredric March (not present; accepted by Cathy O'Donnell),Joan Fontaine,"March 13, 1947; Shrine Civic Auditorium","I'm sorry that Mr. March couldn't be here for this award, but I guess you know that he's in New York in a very successful play.  I think Mr. March was wonderful in ""The Best Years of Our Lives"" and I'm glad you did, too.  So I want to thank you for Mr. March.  Thank you.",1946,Actor in a Leading Role,1946.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=20&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Actor in a Supporting Role,The Best Years of Our Lives,Harold Russell,Anne Revere,"March 13, 1947; Shrine Civic Auditorium",Thank you very much.  Two in a night is just too much!  Thanks a lot.,1946,Actor in a Supporting Role,1946.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=21&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Actress,To Each His Own,Olivia de Havilland,Ray Milland,"March 13, 1947; Shrine Civic Auditorium","Since I value highly the profession which has instructed me, rewarded me, and permitted me my share of the world's work, it will understand and forgive me, I know, for the very great pride I feel in receiving this symbol of its approbation, one of the Awards of Merit, for my part in this past year, what has been done.  But even in this wonderful moment my common sense reminds me quite clearly that most of the work that went into earning this award was not done by Olivia de Havilland at all, but by a big team of other people who, if justice were really to prevail, would be standing up here beside me now.  When I think of the writer who created ""Jody Norris,"" and how much of her sprang from the heart and mind of the director. When I remember the businessmen who found and managed the money which produced her and distributed her.  And how she grew under the talents and skills of the technicians: the cameraman, the makeup man, the hairdresser, the costumer. And then I think how much the musicians did for her. Then I feel humble too, as well as proud, to accept this award which I do in the name of my team as well as my own.  Thank you.",1946,Actress in a Leading Role,1946.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=22&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Actress in a Supporting Role,The Razor's Edge,Anne Baxter,Lionel Barrymore,"March 13, 1947; Shrine Civic Auditorium","I want to thank all the Academy members for this very great honor.  And I'd like to present my appreciation to Mr. Zanuck for the opportunity to play ""Sophie.""  And above all, my deepest thanks to Mr. Eddie Goulding, without whose fine direction and understanding ""Sophie"" never would have been.  I'm deeply grateful.  Thank you again.",1946,Actress in a Supporting Role,1946.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=23&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Directing,The Best Years of Our Lives,William Wyler,Billy Wilder,"March 13, 1947; Shrine Civic Auditorium",I'm deeply grateful and very happy that the picture was liked so much.  Thank you.,1946,Directing,1946.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=24&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Special Award,The Best Years of Our Lives,"To Harold Russell for bringing hope and courage to his fellow veterans through his appearance in ""The Best Years of Our Lives.""",Shirley Temple,"March 13, 1947; Shrine Civic Auditorium","Thank you, ladies and gentlemen.  This is the proudest and happiest moment of my life.  I wish to sincerely thank Mr. Wyler and Mr. Goldwyn and all the other wonderful people who helped me so much in the picture ""The Best Years of Our Lives.""  Shirley [Temple], I'd like to accept this trophy in the name of all those thousands of disabled veterans who are laying in hospitals all over the country.  Thank you very much.",1946,Honorary Award,1946.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=25&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Special Award,No title.,"To Claude Jarman, Jr., outstanding child actor of 1946.",Shirley Temple,"March 13, 1947; Shrine Civic Auditorium",Winner not present.,1946,Honorary Award,1946.7,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=26&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Best Motion Picture,The Best Years of Our Lives,Samuel Goldwyn Productions (accepted by Samuel Goldwyn),Eric Johnston,"March 13, 1947; Shrine Civic Auditorium","Ladies and gentlemen, as you know, no one man makes a fine picture; it takes a great many people, great collaboration.  And I want to express my deep appreciation to Mr. MacKinlay Kantor who wrote the original story.  To Mr. Sherwood, for his brilliant adaptation.  To Mr. Wyler, for the greatest direction I have seen for a motion picture so far.  To Mr. Freddie March; to Miss Myrna Loy; to Mr. Dana Andrews; to Miss Teresa Wright; to Miss Mayo, Virginia Mayo; to Miss Cathleen O'Donnell; to Mr. Hugo Carmichael; to Mr. Russell.  We all deeply appreciate the honor that you bestowed in voting ""The Best Years of Our Lives"" the Best Picture of the Year.  I thank you.",1946,Best Picture,1946.8,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=27&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1946 (19th) Academy Awards,Irving G. Thalberg Memorial Award,No title.,Samuel Goldwyn,Donald Nelson,"March 13, 1947; Shrine Civic Auditorium","I am deeply grateful for this award.  I have known Mr. Thalberg as a man whom I've had a great affection for; a man that stood for a great many fine films that have been done in this industry; a man who has had great integrity; a man who has been a great loss to Hollywood.  You could not honor me, give me any greater honor, than give me this award tonight, and I thank you from the bottom of my heart.",1946,Honorary Award,1946.9,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=28&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
